created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-12-04T15:08:32+00:00,1,24.00,53.00,778,,,,
2024-12-04T15:09:01+00:00,2,25.00,53.00,768,,,,
2024-12-04T15:09:34+00:00,3,28.00,42.00,749,,,,
2024-12-04T15:10:03+00:00,4,27.00,50.00,755,,,,
2024-12-04T15:10:32+00:00,5,29.00,58.00,772,,,,
2024-12-04T15:11:01+00:00,6,26.00,46.00,769,,,,
2024-12-04T15:11:30+00:00,7,29.00,49.00,780,,,,
2024-12-04T15:11:59+00:00,8,29.00,47.00,771,,,,
2024-12-04T15:12:36+00:00,9,26.00,67.00,767,,,,
2024-12-04T15:13:05+00:00,10,21.00,69.00,773,,,,
2024-12-04T15:13:23+00:00,11,28.00,53.00,766,,,,
2024-12-04T15:13:51+00:00,12,24.00,61.00,775,,,,
2024-12-04T15:14:59+00:00,13,23.00,45.00,777,,,,
2024-12-04T15:15:28+00:00,14,29.00,63.00,772,,,,
2024-12-04T15:15:46+00:00,15,25.00,47.00,758,,,,
2024-12-04T15:16:14+00:00,16,23.00,65.00,766,,,,
2024-12-04T15:16:36+00:00,17,20.00,59.00,747,,,,
2024-12-04T15:16:56+00:00,18,24.00,54.00,755,,,,
2024-12-04T15:17:25+00:00,19,20.00,61.00,762,,,,
2024-12-04T15:18:00+00:00,20,25.00,52.00,759,,,,
2024-12-04T15:18:38+00:00,21,30.00,57.00,765,,,,
2024-12-04T15:19:07+00:00,22,26.00,53.00,767,,,,
2024-12-04T15:20:07+00:00,23,23.00,46.00,766,,,,
2024-12-04T15:21:07+00:00,24,20.00,68.00,768,,,,
2024-12-04T15:21:34+00:00,25,24.00,68.00,759,,,,
2024-12-04T15:22:09+00:00,26,28.00,43.00,759,,,,
2024-12-04T17:47:23+00:00,27,22.00,58.00,731,,,,
2024-12-04T17:47:53+00:00,28,22.00,68.00,907,,,,
2024-12-04T17:49:11+00:00,29,22.00,66.00,865,,,,
2024-12-04T17:49:41+00:00,30,24.00,51.00,858,,,,
2024-12-04T17:50:40+00:00,31,28.00,45.00,846,,,,
2024-12-04T17:51:09+00:00,32,27.00,59.00,827,,,,
2024-12-04T17:51:38+00:00,33,23.00,40.00,822,,,,
2024-12-04T17:52:15+00:00,34,22.00,52.00,823,,,,
2024-12-04T17:53:03+00:00,35,29.00,67.00,790,,,,
2024-12-04T17:53:32+00:00,36,28.00,53.00,819,,,,
2024-12-04T17:53:54+00:00,37,23.00,58.00,810,,,,
2024-12-04T17:54:23+00:00,38,20.00,42.00,822,,,,
2024-12-04T17:54:39+00:00,39,25.00,40.00,809,,,,
2024-12-04T17:54:55+00:00,40,21.00,42.00,802,,,,
2024-12-04T17:55:24+00:00,41,28.00,61.00,843,,,,
2024-12-04T17:56:29+00:00,42,28.00,53.00,838,,,,
2024-12-04T17:56:58+00:00,43,20.00,63.00,834,,,,
2024-12-04T17:58:24+00:00,44,24.00,43.00,382,,,,
2024-12-04T17:58:52+00:00,45,21.00,60.00,433,,,,
2024-12-04T17:59:22+00:00,46,28.00,51.00,429,,,,
2024-12-04T17:59:47+00:00,47,29.00,53.00,430,,,,
2024-12-04T18:00:14+00:00,48,20.00,44.00,391,,,,
2024-12-04T18:00:41+00:00,49,23.00,47.00,390,,,,
2024-12-04T18:01:29+00:00,50,30.00,42.00,389,,,,
2024-12-04T18:01:56+00:00,51,28.00,67.00,377,,,,
2024-12-04T18:02:23+00:00,52,25.00,64.00,576,,,,
2024-12-04T18:02:51+00:00,53,26.00,59.00,615,,,,
2024-12-04T18:03:36+00:00,54,28.00,58.00,604,,,,
2024-12-04T18:03:56+00:00,55,30.00,49.00,599,,,,
2024-12-04T18:04:16+00:00,56,26.00,49.00,609,,,,
2024-12-04T18:04:38+00:00,57,20.00,51.00,581,,,,
2024-12-04T18:05:01+00:00,58,24.00,67.00,586,,,,
2024-12-04T18:05:20+00:00,59,30.00,42.00,566,,,,
2024-12-04T18:05:39+00:00,60,25.00,59.00,571,,,,
2024-12-04T18:06:01+00:00,61,23.00,67.00,575,,,,
2024-12-04T18:06:19+00:00,62,24.00,42.00,562,,,,
2024-12-04T18:06:39+00:00,63,25.00,60.00,563,,,,
2024-12-04T18:06:58+00:00,64,20.00,68.00,576,,,,
2024-12-04T18:07:17+00:00,65,22.00,51.00,567,,,,
2024-12-04T18:07:45+00:00,66,23.00,44.00,560,,,,
2024-12-04T18:08:04+00:00,67,27.00,43.00,566,,,,
2024-12-04T18:08:23+00:00,68,20.00,40.00,560,,,,
2024-12-04T18:08:41+00:00,69,24.00,61.00,478,,,,
2024-12-04T18:09:03+00:00,70,29.00,66.00,509,,,,
2024-12-04T18:09:31+00:00,71,27.00,59.00,493,,,,
2024-12-04T18:09:49+00:00,72,23.00,65.00,509,,,,
2024-12-04T18:10:20+00:00,73,22.00,49.00,495,,,,
2024-12-04T18:10:39+00:00,74,25.00,52.00,521,,,,
2024-12-04T18:11:34+00:00,75,24.00,56.00,528,,,,
2024-12-04T18:11:58+00:00,76,27.00,50.00,511,,,,
2024-12-04T18:12:24+00:00,77,28.00,64.00,531,,,,
2024-12-04T18:12:42+00:00,78,22.00,49.00,511,,,,
2024-12-04T18:13:08+00:00,79,26.00,69.00,502,,,,
2024-12-04T18:13:48+00:00,80,25.30,85.00,543,,,,
2024-12-04T18:14:23+00:00,81,25.80,82.00,529,,,,
2024-12-04T18:14:50+00:00,82,25.80,82.00,528,,,,
2024-12-04T18:15:17+00:00,83,25.80,82.00,506,,,,
2024-12-04T18:15:44+00:00,84,25.80,82.00,511,,,,
2024-12-04T18:16:11+00:00,85,25.80,82.00,503,,,,
2024-12-04T18:16:37+00:00,86,25.80,82.00,498,,,,
2024-12-04T18:17:04+00:00,87,25.80,82.00,496,,,,
2024-12-04T18:17:31+00:00,88,25.80,82.00,507,,,,
2024-12-04T18:17:58+00:00,89,25.80,81.00,497,,,,
2024-12-04T18:18:25+00:00,90,25.80,81.00,511,,,,
2024-12-04T18:18:52+00:00,91,25.80,81.00,524,,,,
2024-12-04T18:19:18+00:00,92,25.80,81.00,511,,,,
2024-12-04T18:20:06+00:00,93,23.00,50.00,511,,,,
2024-12-04T18:20:33+00:00,94,29.00,43.00,495,,,,
2024-12-04T18:20:59+00:00,95,27.00,40.00,511,,,,
2024-12-04T18:21:26+00:00,96,23.00,64.00,502,,,,
2024-12-04T18:21:53+00:00,97,24.00,44.00,510,,,,
2024-12-04T18:22:20+00:00,98,30.00,62.00,529,,,,
2024-12-04T18:22:48+00:00,99,23.00,47.00,528,,,,
2024-12-04T18:23:15+00:00,100,24.00,53.00,761,,,,
2024-12-04T18:36:52+00:00,101,20.00,60.00,193,,,,
2024-12-04T18:37:19+00:00,102,22.00,50.00,359,,,,
2024-12-04T18:37:46+00:00,103,22.00,54.00,351,,,,
2024-12-04T18:38:13+00:00,104,28.00,60.00,338,,,,
2024-12-04T18:38:40+00:00,105,24.00,48.00,336,,,,
2024-12-04T18:39:02+00:00,106,26.00,68.00,464,,,,
2024-12-04T18:39:19+00:00,107,20.00,44.00,336,,,,
2024-12-04T18:39:46+00:00,108,23.00,64.00,378,,,,
2024-12-04T18:40:13+00:00,109,29.00,65.00,362,,,,
2024-12-04T18:40:40+00:00,110,24.00,41.00,384,,,,
2024-12-04T18:41:24+00:00,111,30.00,53.00,395,,,,
2024-12-04T18:41:51+00:00,112,22.00,48.00,384,,,,
2024-12-04T18:42:18+00:00,113,28.00,70.00,399,,,,
2024-12-04T18:42:45+00:00,114,30.00,60.00,387,,,,
2024-12-04T18:45:05+00:00,115,26.00,58.00,375,,,,
2024-12-04T18:45:31+00:00,116,21.00,65.00,354,,,,
2024-12-04T18:45:58+00:00,117,25.00,69.00,336,,,,
2024-12-04T18:46:25+00:00,118,24.00,59.00,341,,,,
2024-12-04T18:46:51+00:00,119,26.20,81.00,342,,,,
2024-12-04T18:47:18+00:00,120,26.20,80.00,338,,,,
2024-12-04T18:47:44+00:00,121,26.20,80.00,348,,,,
2024-12-04T18:48:11+00:00,122,26.20,80.00,334,,,,
2024-12-04T18:48:38+00:00,123,26.70,80.00,323,,,,
2024-12-04T18:49:04+00:00,124,26.20,79.00,336,,,,
2024-12-04T18:49:31+00:00,125,26.30,79.00,324,,,,
2024-12-04T18:49:58+00:00,126,26.70,79.00,338,,,,
2024-12-04T18:50:24+00:00,127,26.70,79.00,327,,,,
2024-12-04T18:50:51+00:00,128,26.70,79.00,337,,,,
2024-12-04T18:51:18+00:00,129,26.70,79.00,384,,,,
2024-12-04T18:51:44+00:00,130,26.30,79.00,381,,,,
2024-12-04T18:52:11+00:00,131,26.70,79.00,397,,,,
2024-12-04T18:52:38+00:00,132,26.70,79.00,350,,,,
2024-12-05T12:53:30+00:00,133,24.50,84.00,265,,,,
2024-12-05T12:53:58+00:00,134,24.50,85.00,969,,,,
2024-12-05T12:54:27+00:00,135,24.50,85.00,699,,,,
2024-12-05T12:54:55+00:00,136,24.80,84.00,595,,,,
2024-12-05T12:55:22+00:00,137,24.80,84.00,550,,,,
2024-12-05T12:55:49+00:00,138,24.80,83.00,504,,,,
2024-12-05T12:56:16+00:00,139,24.80,82.00,420,,,,
2024-12-05T13:00:55+00:00,140,24.80,82.00,422,,,,
2024-12-05T13:01:22+00:00,141,25.30,80.00,435,,,,
2024-12-05T13:01:49+00:00,142,25.30,80.00,429,,,,
2024-12-05T13:02:16+00:00,143,25.30,80.00,430,,,,
2024-12-05T13:02:43+00:00,144,25.30,80.00,419,,,,
2024-12-05T13:03:10+00:00,145,25.30,80.00,427,,,,
2024-12-05T13:03:36+00:00,146,25.30,80.00,400,,,,
2024-12-05T13:04:03+00:00,147,25.30,80.00,412,,,,
2024-12-05T13:04:20+00:00,148,25.30,80.00,411,,,,
2024-12-05T13:04:42+00:00,149,25.30,80.00,425,,,,
2024-12-05T13:05:09+00:00,150,25.30,80.00,406,,,,
2024-12-05T13:05:52+00:00,151,25.60,80.00,415,,,,
2024-12-05T13:06:19+00:00,152,25.80,80.00,401,,,,
2024-12-05T13:06:50+00:00,153,25.80,80.00,401,,,,
2024-12-05T13:07:17+00:00,154,25.80,80.00,399,,,,
2024-12-05T13:18:16+00:00,155,24.80,85.00,326,,,,
2024-12-05T13:18:43+00:00,156,24.80,85.00,425,,,,
2024-12-05T13:19:09+00:00,157,24.80,85.00,421,,,,
2024-12-05T13:19:37+00:00,158,24.80,85.00,415,,,,
2024-12-05T13:20:04+00:00,159,24.80,85.00,429,,,,
2024-12-05T13:20:33+00:00,160,24.80,85.00,421,,,,
2024-12-05T13:21:00+00:00,161,25.30,85.00,411,,,,
2024-12-05T13:21:27+00:00,162,25.30,85.00,417,,,,
2024-12-05T13:22:28+00:00,163,25.30,84.00,370,,,,
2024-12-05T13:22:55+00:00,164,25.30,83.00,419,,,,
2024-12-05T13:23:21+00:00,165,25.30,83.00,419,,,,
2024-12-05T13:23:48+00:00,166,25.30,83.00,413,,,,
2024-12-05T13:24:18+00:00,167,25.30,83.00,417,,,,
2024-12-05T13:24:45+00:00,168,25.30,82.00,419,,,,
2024-12-05T13:25:12+00:00,169,25.30,82.00,412,,,,
2024-12-05T13:27:32+00:00,170,25.30,82.00,428,,,,
2024-12-05T13:27:59+00:00,171,25.80,82.00,528,,,,
2024-12-05T13:28:26+00:00,172,25.80,81.00,489,,,,
2024-12-05T13:29:15+00:00,173,25.80,81.00,457,,,,
2024-12-05T13:29:36+00:00,174,25.80,81.00,477,,,,
2024-12-05T13:30:04+00:00,175,25.80,81.00,458,,,,
2024-12-05T13:30:31+00:00,176,25.80,81.00,469,,,,
2024-12-05T13:30:58+00:00,177,25.80,81.00,526,,,,
2024-12-05T13:31:14+00:00,178,25.80,81.00,530,,,,
2024-12-05T13:31:41+00:00,179,25.80,81.00,511,,,,
2024-12-05T13:32:08+00:00,180,25.80,81.00,506,,,,
2024-12-05T13:32:29+00:00,181,25.80,81.00,496,,,,
2024-12-05T13:32:56+00:00,182,25.80,81.00,528,,,,
2024-12-05T13:33:23+00:00,183,25.80,81.00,511,,,,
2024-12-05T13:33:53+00:00,184,25.80,81.00,522,,,,
2024-12-05T13:34:37+00:00,185,25.80,81.00,639,,,,
2024-12-05T13:34:52+00:00,186,25.80,81.00,653,,,,
2024-12-05T13:35:21+00:00,187,25.80,81.00,628,,,,
2024-12-05T13:35:51+00:00,188,25.80,81.00,631,,,,
2024-12-05T13:36:22+00:00,189,25.80,81.00,641,,,,
2024-12-05T13:36:51+00:00,190,25.80,81.00,628,,,,
2024-12-05T13:37:19+00:00,191,25.80,81.00,626,,,,
2024-12-05T14:00:43+00:00,192,25.80,81.00,527,,,,
2024-12-05T14:01:10+00:00,193,26.20,80.00,523,,,,
2024-12-05T14:01:37+00:00,194,26.20,80.00,432,,,,
2024-12-05T14:01:53+00:00,195,26.20,79.00,407,,,,
